username,timestamp,content,mentions,hashtags,clean_content,signal
Angel Nifty BankNifty,2025-07-12 07:55:07+00:00,"Angel Nifty BankNifty
@AngelBanknifty
·
1h
India Vs RoW | Here's how the major global indices performed last week 

#Nifty50 #Nasdaq #DowJones #FTSE #CAC #DAX #HangSeng #Kospi #Shanghai #Nikkei
53",@AngelBanknifty,"#Nifty50, #Nasdaq, #DowJones, #FTSE, #CAC, #DAX, #HangSeng, #Kospi, #Shanghai, #Nikkei","angel nifty banknifty


1h
india vs row  heres how the major global indices performed last week 

nifty50 nasdaq dowjones ftse cac dax hangseng kospi shanghai nikkei
53",0
Soctr.IN,2025-07-12 07:39:50+00:00,"Soctr.IN
@MySoctr
·
1h
#ScreenersPerformaceLastWeek

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow"" 
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout
Show more
106","@MySoctr, @MySoctr","#ScreenersPerformaceLastWeek, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout","soctrin


1h
screenersperformacelastweek

check trending chartpatterns and updates on  and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade stockmarket trading stockmarkets breakout
show more
106",1
Soctr.IN,2025-07-12 07:38:21+00:00,"Soctr.IN
@MySoctr
·
1h
#ScreenersPerformaceThisWeek
 
Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow"" 
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout
Show more
108","@MySoctr, @MySoctr","#ScreenersPerformaceThisWeek, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout","soctrin


1h
screenersperformacethisweek
 
check trending chartpatterns and updates on  and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade stockmarket trading stockmarkets breakout
show more
108",1
Soctr.IN,2025-07-12 07:36:24+00:00,"Soctr.IN
@MySoctr
·
1h
#ScreenersHighlightsYesterday 

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow""  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets
Show more
106","@MySoctr, @MySoctr","#ScreenersHighlightsYesterday, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets","soctrin


1h
screenershighlightsyesterday 

check trending chartpatterns and updates on  and follow  



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade stockmarket trading stockmarkets
show more
106",1
Manisha Jadhav,2025-07-12 07:32:04+00:00,"Manisha Jadhav
@BeingHumane14
·
1h
To all the option buyers 

#StockMarketIndia #Nifty50 #optiontrading #punjabi #trading
The media could not be played.
Reload
1
28",@BeingHumane14,"#StockMarketIndia, #Nifty50, #optiontrading, #punjabi, #trading","manisha jadhav


1h
to all the option buyers 

stockmarketindia nifty50 optiontrading punjabi trading
the media could not be played
reload
1
28",1
BMSMONEY,2025-07-12 07:30:00+00:00,"BMSMONEY
@BMS_MONEY
·
1h
Top 10   Conservative Hybrid Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-conservative-hybrid-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
40",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs","bmsmoney


1h
top 10   conservative hybrid mutual funds for 2025 ranked by composite performance   score
  as of june 30 2025 
      
    mutualfunds mutualfundssahihai niftyfuture nifty50 niftyit   niftymidcap niftybank niftyoptions sensex india fiis diis
40",0
Deepak Option Trader(D.O.T),2025-07-12 07:29:54+00:00,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
From Monday will share my view on indexes everyday (trading day)

With trade and logic...

Stay tuned 

And 

Do follow

#stockmarketcrash #StockMarket #nifty50 #nifty #herozero #sensex #banknifty
1
141",@OptiontraderDK,"#stockmarketcrash, #StockMarket, #nifty50, #nifty, #herozero, #sensex, #banknifty","deepak option traderdot


1h
from monday will share my view on indexes everyday trading day

with trade and logic

stay tuned 

and 

do follow

stockmarketcrash stockmarket nifty50 nifty herozero sensex banknifty
1
141",0
Deepak Option Trader(D.O.T),2025-07-12 07:28:19+00:00,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
I will share one herozero trade tomorrow with the risk of 5k/6k

Reward 12k/18k/22k

Stay tuned and 

Do follow

#stockmarketcrash #StockMarket #nifty50 #nifty #herozero #sensex #banknifty
129",@OptiontraderDK,"#stockmarketcrash, #StockMarket, #nifty50, #nifty, #herozero, #sensex, #banknifty","deepak option traderdot


1h
i will share one herozero trade tomorrow with the risk of 5k6k

reward 12k18k22k

stay tuned and 

do follow

stockmarketcrash stockmarket nifty50 nifty herozero sensex banknifty
129",0
Brinks Report,2025-07-12 07:28:09+00:00,"Brinks Report
@brinksreportcom
·
1h
Broader indices ended their 2-week run, but smallcaps like Peninsula Land & Dish TV jumped up to 39%! 
#StockMarketIndia #Nifty50 #Sensex #Smallcaps

Read more
Stock Markets Fall Amid Trade Worries, But Some Smallcaps Gain Over 30% - Brinks Report
From brinksreport.com
32",@brinksreportcom,"#StockMarketIndia, #Nifty50, #Sensex, #Smallcaps","brinks report


1h
broader indices ended their 2week run but smallcaps like peninsula land  dish tv jumped up to 39 
stockmarketindia nifty50 sensex smallcaps

read more
stock markets fall amid trade worries but some smallcaps gain over 30  brinks report
from brinksreportcom
32",0
Deepak Option Trader(D.O.T),2025-07-12 07:26:09+00:00,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
Ready for the crash ....next week + last week 

Nifty will crack more than 1000
Banknifty to test 53000 or more

#stockmarketcrash #StockMarket #banknifty #niftycrash
#nifty50 #nifty
Bookmark for future
Quote
Deepak Option Trader(D.O.T)
@OptiontraderDK
·
Jul 10

800-1000 points bleeding  in #Nifty50 in coming week possible 

#Niftycrash

Stay cautios 

#stockmarketcrash #StockMarket #TCS #banknifty
125","@OptiontraderDK, @OptiontraderDK","#stockmarketcrash, #StockMarket, #banknifty, #niftycrash, #nifty50, #nifty, #Nifty50, #Niftycrash, #stockmarketcrash, #StockMarket, #TCS, #banknifty","deepak option traderdot


1h
ready for the crash next week  last week 

nifty will crack more than 1000
banknifty to test 53000 or more

stockmarketcrash stockmarket banknifty niftycrash
nifty50 nifty
bookmark for future
quote
deepak option traderdot


jul 10

8001000 points bleeding  in nifty50 in coming week possible 

niftycrash

stay cautios 

stockmarketcrash stockmarket tcs banknifty
125",0
mNivesh,2025-07-12 07:25:00+00:00,"mNivesh
@mniveshTeam
·
1h
SIP: Because building wealth should be boringly effective. 

#GIFTNIFTY #niveshonline #StockMarketNews #StockMarketIndia #StockMarket #Indianmarket #IndianStock #Mutualfund #StocksToBuy #nifty50
32",@mniveshTeam,"#GIFTNIFTY, #niveshonline, #StockMarketNews, #StockMarketIndia, #StockMarket, #Indianmarket, #IndianStock, #Mutualfund, #StocksToBuy, #nifty50","mnivesh


1h
sip because building wealth should be boringly effective 

giftnifty niveshonline stockmarketnews stockmarketindia stockmarket indianmarket indianstock mutualfund stockstobuy nifty50
32",1
shyam saraswathi,2025-07-12 07:21:12+00:00,"shyam saraswathi
@saraswathi35004
·
1h
നിക്ഷേപകരെ സംബന്ധിച്ചിടത്തോളം റെയിൽവേ ഓഹരികൾ മികച്ച തിരഞ്ഞെടുപ്പാണ്. ആധുനികവൽക്കരണം, ചരക്ക് കാര്യക്ഷമത, നഗര ഗതാഗതം എന്നിവയിൽ സർക്കാർ ഊന്നൽ നൽകുന്നതിനാൽ, റെയിൽവേ കമ്പനികൾക്ക് മികച്ച ഓർഡറുകൾ നേടുന്നുണ്ട്
#StockMarket #Nifty50
വില 191 രൂപ മുതൽ, കോടികളുടെ ഓർഡർ ബുക്ക്, 2025-ൽ ശ്രദ്ധിക്കേണ്ട 3 റെയിൽവേ ഓഹരികൾ
From malayalam.goodreturns.in
17",@saraswathi35004,"#StockMarket, #Nifty50","shyam saraswathi


1h
നകഷപകര സബനധചചടതതള റയൽവ ഓഹരകൾ മകചച തരഞഞടപപണ ആധനകവൽകകരണ ചരകക കരയകഷമത നഗര ഗതഗത എനനവയൽ സർകകർ ഊനനൽ നൽകനനതനൽ റയൽവ കമപനകൾകക മകചച ഓർഡറകൾ നടനനണട
stockmarket nifty50
വല 191 രപ മതൽ കടകളട ഓർഡർ ബകക 2025ൽ ശരദധകകണട 3 റയൽവ ഓഹരകൾ
from malayalamgoodreturnsin
17",0
Marwadi Shares and Finance Ltd.,2025-07-12 07:20:06+00:00,"Marwadi Shares and Finance Ltd.
@MarwadiHQ
·
1h
Not just news — insights.
Saturday Spotlight wraps the week so you’re ready for Monday.

#SpotlightSaturday #Nifty #Nifty50 #Sensex #StockMarket #ShareMarket #ShareMarketInvesting #Investing #Investment #StockInvesting #StockInvestments#MSFL #MSFLIndia #MSFLHQ #MarwadiHQ
The media could not be played.
Reload
94",@MarwadiHQ,"#SpotlightSaturday, #Nifty, #Nifty50, #Sensex, #StockMarket, #ShareMarket, #ShareMarketInvesting, #Investing, #Investment, #StockInvesting, #StockInvestments, #MSFL, #MSFLIndia, #MSFLHQ, #MarwadiHQ","marwadi shares and finance ltd


1h
not just news  insights
saturday spotlight wraps the week so youre ready for monday

spotlightsaturday nifty nifty50 sensex stockmarket sharemarket sharemarketinvesting investing investment stockinvesting stockinvestmentsmsfl msflindia msflhq marwadihq
the media could not be played
reload
94",0
Rohit Mehta (SEBI Regd. RA No. INH100009080),2025-07-12 07:17:36+00:00,"Rohit Mehta (SEBI Regd. RA No. INH100009080)
@envisager_rohit
·
1h
Replying to 
@envisager_rohit
4. Den Networks Ltd Key Levels & Chart Trend

 Key Levels:
 Support Zone: ₹35–₹38 (tested multiple times)
 Resistance 1: ₹115
 Resistance 2: ₹188
 ATH Resistance 3: ₹254

#DenNetworks #DEN #StockMarket #stockmarketcrash #StockMarketIndia #StocksToWatch #Nifty50
1
41","@envisager_rohit, @envisager_rohit","#DenNetworks, #DEN, #StockMarket, #stockmarketcrash, #StockMarketIndia, #StocksToWatch, #Nifty50","rohit mehta sebi regd ra no inh100009080


1h
replying to 

4 den networks ltd key levels  chart trend

 key levels
 support zone 3538 tested multiple times
 resistance 1 115
 resistance 2 188
 ath resistance 3 254

dennetworks den stockmarket stockmarketcrash stockmarketindia stockstowatch nifty50
1
41",0
Abhiral Rai,2025-07-12 07:11:42+00:00,"Abhiral Rai
@optionadictbnf
·
1h
Drop your stock market related queries 
One person one queries...
#Nifty50 #niftyoptions #StockMarketIndia
5
4
194",@optionadictbnf,"#Nifty50, #niftyoptions, #StockMarketIndia","abhiral rai


1h
drop your stock market related queries 
one person one queries
nifty50 niftyoptions stockmarketindia
5
4
194",0
Harrshh Poddaar,2025-07-12 07:09:28+00:00,"Harrshh Poddaar
@harshpoddar91
·
1h
Highlights of the week ended 11th July 2025

#Nifty50 #banknifty #GOLD #silver #StocksToWatch #consumers #FMCG  #DEFENCE #Investing #MutualFunds #NIFTYIT
85",@harshpoddar91,"#Nifty50, #banknifty, #GOLD, #silver, #StocksToWatch, #consumers, #FMCG, #DEFENCE, #Investing, #MutualFunds, #NIFTYIT","harrshh poddaar


1h
highlights of the week ended 11th july 2025

nifty50 banknifty gold silver stockstowatch consumers fmcg  defence investing mutualfunds niftyit
85",0
Boss Investor,2025-07-12 07:06:02+00:00,"Boss Investor
@BossInvestor24
·
1h
Follow 
@BossInvestor24
 for more such handy notes

https://x.com/BossInvestor24/status/1943547423760220235?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1943547423760220235%7Ctwgr%5Ebd1e8d2e332814cada2b9df95751d1a116835e14%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fpublish.twitter.com%2F%3Furl%3Dhttps%3A%2F%2Ftwitter.com%2FBossInvestor24%2Fstatus%2F1943547423760220235…

#Stockmarketindia #IntradayTrading #Stocks #Silver #Breakoutstocks #StocksToFocus #Nifty50 #Sensex #IPOAlert #SpecialtyChemicals #ChemicalStocks #AI171 #PriceAction #niftycrash
Quote
Boss Investor
@BossInvestor24
·
Jul 11
From Refrigerants to Specialty Chemicals

Navin Fluorine has quietly built a moat in India's fluorochemicals space.

Here’s a breakdown - OPEN THREAD 

#SpecialtyChemicals #Fluorochemicals #IREDA #ChemicalStocks #WorldPopulationDay #GLENMARK #stockmarketcrash #Pharma #Earnings
183","@BossInvestor24, @BossInvestor24, @BossInvestor24","#Stockmarketindia, #IntradayTrading, #Stocks, #Silver, #Breakoutstocks, #StocksToFocus, #Nifty50, #Sensex, #IPOAlert, #SpecialtyChemicals, #ChemicalStocks, #AI171, #PriceAction, #niftycrash, #SpecialtyChemicals, #Fluorochemicals, #IREDA, #ChemicalStocks, #WorldPopulationDay, #GLENMARK, #stockmarketcrash, #Pharma, #Earnings","boss investor


1h
follow 

 for more such handy notes



stockmarketindia intradaytrading stocks silver breakoutstocks stockstofocus nifty50 sensex ipoalert specialtychemicals chemicalstocks ai171 priceaction niftycrash
quote
boss investor


jul 11
from refrigerants to specialty chemicals

navin fluorine has quietly built a moat in indias fluorochemicals space

heres a breakdown  open thread 

specialtychemicals fluorochemicals ireda chemicalstocks worldpopulationday glenmark stockmarketcrash pharma earnings
183",0
BMSMONEY,2025-07-12 07:00:01+00:00,"BMSMONEY
@BMS_MONEY
·
1h
Top 10   Arbitrage Mutual Funds for 2025 Ranked by composite performance score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-arbitrage-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
41",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs","bmsmoney


1h
top 10   arbitrage mutual funds for 2025 ranked by composite performance score
  as of june 30 2025 
      
    mutualfunds mutualfundssahihai niftyfuture nifty50 niftyit   niftymidcap niftybank niftyoptions sensex india fiis diis
41",0
layHunter,2025-07-12 06:48:59+00:00,"layHunter
@layHunterr
·
2h
PM Modi चुनाव आयोग राधिका यादव Kohli Aadhar Gurgaon SEBI #sharemarket #TradingTips Maharashtra #verifiedbysensibull #tcs #TATAIPL #SBIN #nseindia #GIFTNIFTY #Sgxnifty 
@XCorpIndia
 #Nifty50 #zerodha #Crudeoil #Sensex #BTCUSD #HDFCBank #ADANIENT #TataMotors https://bit.ly/3Y7X6Kx
134","@layHunterr, @XCorpIndia","#sharemarket, #TradingTips, #verifiedbysensibull, #tcs, #TATAIPL, #SBIN, #nseindia, #GIFTNIFTY, #Sgxnifty, #Nifty50, #zerodha, #Crudeoil, #Sensex, #BTCUSD, #HDFCBank, #ADANIENT, #TataMotors","layhunter


2h
pm modi चनव आयग रधक यदव kohli aadhar gurgaon sebi sharemarket tradingtips maharashtra verifiedbysensibull tcs tataipl sbin nseindia giftnifty sgxnifty 

 nifty50 zerodha crudeoil sensex btcusd hdfcbank adanient tatamotors 
134",0
CA RAJEEV GUPTA,2025-07-12 06:48:44+00:00,"CA RAJEEV GUPTA
@RajeevGuptaCA
·
2h
BOB Share Price Target 2025,2030,2035,2040

#incometax #ITR2025 #banknifty
#stockmarketcrash #Nifty #Nifty50  #StockMarketIndia #StockMarket  #Sensex  #stockmarketsindia #StocksToBuy #StocksInFocus #StocksToTrade
BOB Share Price Target 2025,2030,2035,2040 - News4You
From news4you.in
1
1
117",@RajeevGuptaCA,"#incometax, #ITR2025, #banknifty, #stockmarketcrash, #Nifty, #Nifty50, #StockMarketIndia, #StockMarket, #Sensex, #stockmarketsindia, #StocksToBuy, #StocksInFocus, #StocksToTrade","ca rajeev gupta


2h
bob share price target 2025203020352040

incometax itr2025 banknifty
stockmarketcrash nifty nifty50  stockmarketindia stockmarket  sensex  stockmarketsindia stockstobuy stocksinfocus stockstotrade
bob share price target 2025203020352040  news4you
from news4youin
1
1
117",1
CA RAJEEV GUPTA,2025-07-12 06:47:35+00:00,"CA RAJEEV GUPTA
@RajeevGuptaCA
·
2h
This Big NBFC Company Has Announced One Free Bonus Share For Every Share Held by the Shareholders

 #banknifty
#stockmarketcrash #Nifty #Nifty50  #StockMarketIndia #StockMarket  #Sensex  #stockmarketsindia #StocksToBuy #StocksInFocus #StocksToTrade
This Big NBFC Company Has Announced One Free Bonus Share For Every Share Held by the Shareholders -...
From moneyinsight.in
1
1
114",@RajeevGuptaCA,"#banknifty, #stockmarketcrash, #Nifty, #Nifty50, #StockMarketIndia, #StockMarket, #Sensex, #stockmarketsindia, #StocksToBuy, #StocksInFocus, #StocksToTrade","ca rajeev gupta


2h
this big nbfc company has announced one free bonus share for every share held by the shareholders

 banknifty
stockmarketcrash nifty nifty50  stockmarketindia stockmarket  sensex  stockmarketsindia stockstobuy stocksinfocus stockstotrade
this big nbfc company has announced one free bonus share for every share held by the shareholders 
from moneyinsightin
1
1
114",1
stocks acadmy,2025-07-12 06:46:44+00:00,"stocks acadmy
@hayat152030
·
2h
#Nifty50:15 min time frame
36",@hayat152030,#Nifty50,"stocks acadmy


2h
nifty5015 min time frame
36",0
𝐀𝐣𝐢𝐭,2025-07-12 06:42:56+00:00,"𝐀𝐣𝐢𝐭
@____ajit____
·
2h
link between policy rates and GDP growth is ambiguous.demand side factor also matters #Nifty50 #StocksToBuy ##GIFTNIFTY
1
2
43",@____ajit____,"#Nifty50, #StocksToBuy, #GIFTNIFTY","𝐀𝐣𝐢𝐭


2h
link between policy rates and gdp growth is ambiguousdemand side factor also matters nifty50 stockstobuy giftnifty
1
2
43",1
Jagran Business,2025-07-12 06:37:00+00:00,"Jagran Business
@JagranBizNews
·
2h
बिहार बना निवेश का नया पावरहाउस! 5 साल में 650% ग्रोथ! 

#niftycrash #Nifty50 #demataccount #BiharElections2025 #Bihar
The media could not be played.
Reload
52",@JagranBizNews,"#niftycrash, #Nifty50, #demataccount, #BiharElections2025, #Bihar","jagran business


2h
बहर बन नवश क नय पवरहउस 5 सल म 650 गरथ 

niftycrash nifty50 demataccount biharelections2025 bihar
the media could not be played
reload
52",0
stocks acadmy,2025-07-12 06:33:52+00:00,"stocks acadmy
@hayat152030
·
2h
#Nifty50: day time 
Nifty 50 between 25100,24800 is the consolidation range
63",@hayat152030,#Nifty50,"stocks acadmy


2h
nifty50 day time 
nifty 50 between 2510024800 is the consolidation range
63",0
