username,timestamp,content,mentions,hashtags
Angel Nifty BankNifty,2025-07-12T07:55:07.000Z,"Angel Nifty BankNifty
@AngelBanknifty
·
1h
India Vs RoW | Here's how the major global indices performed last week 

#Nifty50 #Nasdaq #DowJones #FTSE #CAC #DAX #HangSeng #Kospi #Shanghai #Nikkei
53",@AngelBanknifty,"#Nifty50, #Nasdaq, #DowJones, #FTSE, #CAC, #DAX, #HangSeng, #Kospi, #Shanghai, #Nikkei"
Soctr.IN,2025-07-12T07:39:50.000Z,"Soctr.IN
@MySoctr
·
1h
#ScreenersPerformaceLastWeek

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow"" 
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout
Show more
106","@MySoctr, @MySoctr","#ScreenersPerformaceLastWeek, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout"
Soctr.IN,2025-07-12T07:38:21.000Z,"Soctr.IN
@MySoctr
·
1h
#ScreenersPerformaceThisWeek
 
Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow"" 
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout
Show more
108","@MySoctr, @MySoctr","#ScreenersPerformaceThisWeek, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout"
Soctr.IN,2025-07-12T07:36:24.000Z,"Soctr.IN
@MySoctr
·
1h
#ScreenersHighlightsYesterday 

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow""  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets
Show more
106","@MySoctr, @MySoctr","#ScreenersHighlightsYesterday, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets"
Manisha Jadhav,2025-07-12T07:32:04.000Z,"Manisha Jadhav
@BeingHumane14
·
1h
To all the option buyers 

#StockMarketIndia #Nifty50 #optiontrading #punjabi #trading
The media could not be played.
Reload
1
28",@BeingHumane14,"#StockMarketIndia, #Nifty50, #optiontrading, #punjabi, #trading"
BMSMONEY,2025-07-12T07:30:00.000Z,"BMSMONEY
@BMS_MONEY
·
1h
Top 10   Conservative Hybrid Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-conservative-hybrid-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
40",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs"
Deepak Option Trader(D.O.T),2025-07-12T07:29:54.000Z,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
From Monday will share my view on indexes everyday (trading day)

With trade and logic...

Stay tuned 

And 

Do follow

#stockmarketcrash #StockMarket #nifty50 #nifty #herozero #sensex #banknifty
1
141",@OptiontraderDK,"#stockmarketcrash, #StockMarket, #nifty50, #nifty, #herozero, #sensex, #banknifty"
Deepak Option Trader(D.O.T),2025-07-12T07:28:19.000Z,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
I will share one herozero trade tomorrow with the risk of 5k/6k

Reward 12k/18k/22k

Stay tuned and 

Do follow

#stockmarketcrash #StockMarket #nifty50 #nifty #herozero #sensex #banknifty
129",@OptiontraderDK,"#stockmarketcrash, #StockMarket, #nifty50, #nifty, #herozero, #sensex, #banknifty"
Brinks Report,2025-07-12T07:28:09.000Z,"Brinks Report
@brinksreportcom
·
1h
Broader indices ended their 2-week run, but smallcaps like Peninsula Land & Dish TV jumped up to 39%! 
#StockMarketIndia #Nifty50 #Sensex #Smallcaps

Read more
Stock Markets Fall Amid Trade Worries, But Some Smallcaps Gain Over 30% - Brinks Report
From brinksreport.com
32",@brinksreportcom,"#StockMarketIndia, #Nifty50, #Sensex, #Smallcaps"
Deepak Option Trader(D.O.T),2025-07-12T07:26:09.000Z,"Deepak Option Trader(D.O.T)
@OptiontraderDK
·
1h
Ready for the crash ....next week + last week 

Nifty will crack more than 1000
Banknifty to test 53000 or more

#stockmarketcrash #StockMarket #banknifty #niftycrash
#nifty50 #nifty
Bookmark for future
Quote
Deepak Option Trader(D.O.T)
@OptiontraderDK
·
Jul 10

800-1000 points bleeding  in #Nifty50 in coming week possible 

#Niftycrash

Stay cautios 

#stockmarketcrash #StockMarket #TCS #banknifty
125","@OptiontraderDK, @OptiontraderDK","#stockmarketcrash, #StockMarket, #banknifty, #niftycrash, #nifty50, #nifty, #Nifty50, #Niftycrash, #stockmarketcrash, #StockMarket, #TCS, #banknifty"
mNivesh,2025-07-12T07:25:00.000Z,"mNivesh
@mniveshTeam
·
1h
SIP: Because building wealth should be boringly effective. 

#GIFTNIFTY #niveshonline #StockMarketNews #StockMarketIndia #StockMarket #Indianmarket #IndianStock #Mutualfund #StocksToBuy #nifty50
32",@mniveshTeam,"#GIFTNIFTY, #niveshonline, #StockMarketNews, #StockMarketIndia, #StockMarket, #Indianmarket, #IndianStock, #Mutualfund, #StocksToBuy, #nifty50"
shyam saraswathi,2025-07-12T07:21:12.000Z,"shyam saraswathi
@saraswathi35004
·
1h
നിക്ഷേപകരെ സംബന്ധിച്ചിടത്തോളം റെയിൽവേ ഓഹരികൾ മികച്ച തിരഞ്ഞെടുപ്പാണ്. ആധുനികവൽക്കരണം, ചരക്ക് കാര്യക്ഷമത, നഗര ഗതാഗതം എന്നിവയിൽ സർക്കാർ ഊന്നൽ നൽകുന്നതിനാൽ, റെയിൽവേ കമ്പനികൾക്ക് മികച്ച ഓർഡറുകൾ നേടുന്നുണ്ട്
#StockMarket #Nifty50
വില 191 രൂപ മുതൽ, കോടികളുടെ ഓർഡർ ബുക്ക്, 2025-ൽ ശ്രദ്ധിക്കേണ്ട 3 റെയിൽവേ ഓഹരികൾ
From malayalam.goodreturns.in
17",@saraswathi35004,"#StockMarket, #Nifty50"
Marwadi Shares and Finance Ltd.,2025-07-12T07:20:06.000Z,"Marwadi Shares and Finance Ltd.
@MarwadiHQ
·
1h
Not just news — insights.
Saturday Spotlight wraps the week so you’re ready for Monday.

#SpotlightSaturday #Nifty #Nifty50 #Sensex #StockMarket #ShareMarket #ShareMarketInvesting #Investing #Investment #StockInvesting #StockInvestments#MSFL #MSFLIndia #MSFLHQ #MarwadiHQ
The media could not be played.
Reload
94",@MarwadiHQ,"#SpotlightSaturday, #Nifty, #Nifty50, #Sensex, #StockMarket, #ShareMarket, #ShareMarketInvesting, #Investing, #Investment, #StockInvesting, #StockInvestments, #MSFL, #MSFLIndia, #MSFLHQ, #MarwadiHQ"
Rohit Mehta (SEBI Regd. RA No. INH100009080),2025-07-12T07:17:36.000Z,"Rohit Mehta (SEBI Regd. RA No. INH100009080)
@envisager_rohit
·
1h
Replying to 
@envisager_rohit
4. Den Networks Ltd Key Levels & Chart Trend

 Key Levels:
 Support Zone: ₹35–₹38 (tested multiple times)
 Resistance 1: ₹115
 Resistance 2: ₹188
 ATH Resistance 3: ₹254

#DenNetworks #DEN #StockMarket #stockmarketcrash #StockMarketIndia #StocksToWatch #Nifty50
1
41","@envisager_rohit, @envisager_rohit","#DenNetworks, #DEN, #StockMarket, #stockmarketcrash, #StockMarketIndia, #StocksToWatch, #Nifty50"
Abhiral Rai,2025-07-12T07:11:42.000Z,"Abhiral Rai
@optionadictbnf
·
1h
Drop your stock market related queries 
One person one queries...
#Nifty50 #niftyoptions #StockMarketIndia
5
4
194",@optionadictbnf,"#Nifty50, #niftyoptions, #StockMarketIndia"
Harrshh Poddaar,2025-07-12T07:09:28.000Z,"Harrshh Poddaar
@harshpoddar91
·
1h
Highlights of the week ended 11th July 2025

#Nifty50 #banknifty #GOLD #silver #StocksToWatch #consumers #FMCG  #DEFENCE #Investing #MutualFunds #NIFTYIT
85",@harshpoddar91,"#Nifty50, #banknifty, #GOLD, #silver, #StocksToWatch, #consumers, #FMCG, #DEFENCE, #Investing, #MutualFunds, #NIFTYIT"
Boss Investor,2025-07-12T07:06:02.000Z,"Boss Investor
@BossInvestor24
·
1h
Follow 
@BossInvestor24
 for more such handy notes

https://x.com/BossInvestor24/status/1943547423760220235?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1943547423760220235%7Ctwgr%5Ebd1e8d2e332814cada2b9df95751d1a116835e14%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fpublish.twitter.com%2F%3Furl%3Dhttps%3A%2F%2Ftwitter.com%2FBossInvestor24%2Fstatus%2F1943547423760220235…

#Stockmarketindia #IntradayTrading #Stocks #Silver #Breakoutstocks #StocksToFocus #Nifty50 #Sensex #IPOAlert #SpecialtyChemicals #ChemicalStocks #AI171 #PriceAction #niftycrash
Quote
Boss Investor
@BossInvestor24
·
Jul 11
From Refrigerants to Specialty Chemicals

Navin Fluorine has quietly built a moat in India's fluorochemicals space.

Here’s a breakdown - OPEN THREAD 

#SpecialtyChemicals #Fluorochemicals #IREDA #ChemicalStocks #WorldPopulationDay #GLENMARK #stockmarketcrash #Pharma #Earnings
183","@BossInvestor24, @BossInvestor24, @BossInvestor24","#Stockmarketindia, #IntradayTrading, #Stocks, #Silver, #Breakoutstocks, #StocksToFocus, #Nifty50, #Sensex, #IPOAlert, #SpecialtyChemicals, #ChemicalStocks, #AI171, #PriceAction, #niftycrash, #SpecialtyChemicals, #Fluorochemicals, #IREDA, #ChemicalStocks, #WorldPopulationDay, #GLENMARK, #stockmarketcrash, #Pharma, #Earnings"
BMSMONEY,2025-07-12T07:00:01.000Z,"BMSMONEY
@BMS_MONEY
·
1h
Top 10   Arbitrage Mutual Funds for 2025 Ranked by composite performance score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-arbitrage-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
41",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs"
layHunter,2025-07-12T06:48:59.000Z,"layHunter
@layHunterr
·
2h
PM Modi चुनाव आयोग राधिका यादव Kohli Aadhar Gurgaon SEBI #sharemarket #TradingTips Maharashtra #verifiedbysensibull #tcs #TATAIPL #SBIN #nseindia #GIFTNIFTY #Sgxnifty 
@XCorpIndia
 #Nifty50 #zerodha #Crudeoil #Sensex #BTCUSD #HDFCBank #ADANIENT #TataMotors https://bit.ly/3Y7X6Kx
134","@layHunterr, @XCorpIndia","#sharemarket, #TradingTips, #verifiedbysensibull, #tcs, #TATAIPL, #SBIN, #nseindia, #GIFTNIFTY, #Sgxnifty, #Nifty50, #zerodha, #Crudeoil, #Sensex, #BTCUSD, #HDFCBank, #ADANIENT, #TataMotors"
CA RAJEEV GUPTA,2025-07-12T06:48:44.000Z,"CA RAJEEV GUPTA
@RajeevGuptaCA
·
2h
BOB Share Price Target 2025,2030,2035,2040

#incometax #ITR2025 #banknifty
#stockmarketcrash #Nifty #Nifty50  #StockMarketIndia #StockMarket  #Sensex  #stockmarketsindia #StocksToBuy #StocksInFocus #StocksToTrade
BOB Share Price Target 2025,2030,2035,2040 - News4You
From news4you.in
1
1
117",@RajeevGuptaCA,"#incometax, #ITR2025, #banknifty, #stockmarketcrash, #Nifty, #Nifty50, #StockMarketIndia, #StockMarket, #Sensex, #stockmarketsindia, #StocksToBuy, #StocksInFocus, #StocksToTrade"
CA RAJEEV GUPTA,2025-07-12T06:47:35.000Z,"CA RAJEEV GUPTA
@RajeevGuptaCA
·
2h
This Big NBFC Company Has Announced One Free Bonus Share For Every Share Held by the Shareholders

 #banknifty
#stockmarketcrash #Nifty #Nifty50  #StockMarketIndia #StockMarket  #Sensex  #stockmarketsindia #StocksToBuy #StocksInFocus #StocksToTrade
This Big NBFC Company Has Announced One Free Bonus Share For Every Share Held by the Shareholders -...
From moneyinsight.in
1
1
114",@RajeevGuptaCA,"#banknifty, #stockmarketcrash, #Nifty, #Nifty50, #StockMarketIndia, #StockMarket, #Sensex, #stockmarketsindia, #StocksToBuy, #StocksInFocus, #StocksToTrade"
stocks acadmy,2025-07-12T06:46:44.000Z,"stocks acadmy
@hayat152030
·
2h
#Nifty50:15 min time frame
36",@hayat152030,#Nifty50
𝐀𝐣𝐢𝐭,2025-07-12T06:42:56.000Z,"𝐀𝐣𝐢𝐭
@____ajit____
·
2h
link between policy rates and GDP growth is ambiguous.demand side factor also matters #Nifty50 #StocksToBuy ##GIFTNIFTY
1
2
43",@____ajit____,"#Nifty50, #StocksToBuy, #GIFTNIFTY"
Jagran Business,2025-07-12T06:37:00.000Z,"Jagran Business
@JagranBizNews
·
2h
बिहार बना निवेश का नया पावरहाउस! 5 साल में 650% ग्रोथ! 

#niftycrash #Nifty50 #demataccount #BiharElections2025 #Bihar
The media could not be played.
Reload
52",@JagranBizNews,"#niftycrash, #Nifty50, #demataccount, #BiharElections2025, #Bihar"
stocks acadmy,2025-07-12T06:33:52.000Z,"stocks acadmy
@hayat152030
·
2h
#Nifty50: day time 
Nifty 50 between 25100,24800 is the consolidation range
63",@hayat152030,#Nifty50
BMSMONEY,2025-07-12T06:30:00.000Z,"BMSMONEY
@BMS_MONEY
·
2h
Top 10   Aggressive Hybrid Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. 
      https://bmsmoney.com/eng/mutual-fund/top-performing-aggressive-hybrid-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank #niftyOptions #sensex #India #FIIs #DIIs
46",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank, #niftyOptions, #sensex, #India, #FIIs, #DIIs"
शेयर बाजार का कीड़ा,2025-07-12T06:24:31.000Z,"शेयर बाजार का कीड़ा
@Mukeput
·
2h
*#Nifty50 Index represents over 60% of India’s total stock market cap* 

If you want simple, diversified exposure to the top 50 firms 
Look at Nifty BeES ETF

 Tracks all 50 Nifty stocks
 High liquidity
 Ultra-low expense ratio
 Trades at 1/100th the value of #Nifty50
2
2
77",@Mukeput,"#Nifty50, #Nifty50"
ET NOW,2025-07-12T06:21:23.000Z,"ET NOW
@ETNOWlive
·
2h
#NewsFatafat | Dalal Street ends week two in red: Broader markets slump as IT & metals drag; FMCG stocks show resilience.

#DalalStreet #StockMarketUpdate #ITStocks #MetalsCrash #FMCG #MarketTrends #Sensex #Nifty50
1.3K",@ETNOWlive,"#NewsFatafat, #DalalStreet, #StockMarketUpdate, #ITStocks, #MetalsCrash, #FMCG, #MarketTrends, #Sensex, #Nifty50"
Firstock,2025-07-12T06:16:59.000Z,"Firstock
@thefirstock
·
2h
Replying to 
@thefirstock
 Stay informed. Invest smart.

#MarketUpdate #WeeklyRecap #Nifty50 #Sensex #IndiaVIX #StockMarket #Firstock #VolatilityTrend #InvestSmart
46","@thefirstock, @thefirstock","#MarketUpdate, #WeeklyRecap, #Nifty50, #Sensex, #IndiaVIX, #StockMarket, #Firstock, #VolatilityTrend, #InvestSmart"
Rajesh,2025-07-12T06:15:15.000Z,"Rajesh
@R2KMB
·
2h
Seems something is pending. Correction continues 

#Nifty50 #StockMarketIndia
43",@R2KMB,"#Nifty50, #StockMarketIndia"
Rajesh,2025-07-12T06:12:20.000Z,"Rajesh
@R2KMB
·
2h
There may be one more dip of ~120 points in NIFTY to set panic for reversal. 

Wait and watch 

#Nifty50 #StockMarketIndia
52",@R2KMB,"#Nifty50, #StockMarketIndia"
Soctr.IN,2025-07-12T06:12:14.000Z,"Soctr.IN
@MySoctr
·
2h
#TCS update #Nuvama 

For more #Updates visit http://my.soctr.in/x And ""follow"" 
@MySoctr


#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy #StocksToTrade
Show more
169","@MySoctr, @MySoctr","#TCS, #Nuvama, #Updates, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy, #StocksToTrade"
Arvind R,2025-07-12T06:12:07.000Z,"Arvind R
@StockTalks_
·
2h
A self explanatory chart of #Nifty50.
No buy sale advice, just for educational purposes.
Quote
Arvind R
@StockTalks_
·
19h
Just 2% correction from the recent swing high.
#niftycrash  x.com/StockTalks_/st…
91","@StockTalks_, @StockTalks_","#Nifty50, #niftycrash"
Soctr.IN,2025-07-12T06:11:40.000Z,"Soctr.IN
@MySoctr
·
2h
#DirecttaxcollectionsFY26

For more #Updates visit http://my.soctr.in/x And ""follow"" 
@MySoctr


#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy #StocksToTrade
Show more
137","@MySoctr, @MySoctr","#DirecttaxcollectionsFY26, #Updates, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy, #StocksToTrade"
Sanyamjain,2025-07-12T06:09:16.000Z,"Sanyamjain
@Sanyam_Jain__
·
2h
Wastewater management is becoming a big challenge in all major cities
This sector will give some multibaggers in coming years
ENVIRO INFRA ENGINEERS (EIEL) operates mainly in Delhi-NCR region, big opportunity for them

#enviroinfra #enviro #wastewater #delhi #nifty #Nifty50
1
1
4
184",@Sanyam_Jain__,"#enviroinfra, #enviro, #wastewater, #delhi, #nifty, #Nifty50"
MeghaTrader,2025-07-12T06:03:45.000Z,"MeghaTrader
@MeghaTrader_MT
·
2h
Ideal for short

#Nifty50
80",@MeghaTrader_MT,#Nifty50
sana khatri,2025-07-12T06:00:53.000Z,"sana khatri
@ZKarjekar94998
·
2h
Given  on 5th july   NIFTY FRESH ZONE FOR SHORT (SELL) 25491-25613

NOW 350 POINTS DOWN 
POWER OF TIME CYCLE AND INSTITUTIONS SUPPPLY ZONE

#stockmarketcrash 
#trading 
#Nifty50
1
50",@ZKarjekar94998,"#stockmarketcrash, #trading, #Nifty50"
BMSMONEY,2025-07-12T06:00:00.000Z,"BMSMONEY
@BMS_MONEY
·
2h
Top 10   Value Mutual Funds for 2025 Ranked by composite performance score
  As of June 30, 2025. Find the right funds to grow your   portfolio! 
    https://bmsmoney.com/eng/mutual-fund/top-performing-value-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank
Show more
35",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank"
satyendera tiwari,2025-07-12T06:00:00.000Z,"satyendera tiwari
@viratbharat9
·
2h
Join our official Telegram channel for more insight.
https://t.me/viratbharat9
#stockmarketupdate #trading #investing #equityinvesting #investmentstrategy #swingtrading #investing #finance #equity #marketupdate #nifty50 #sensex #nse #bse #learntotrade #tradingmotivation #banknifty
1
78",@viratbharat9,"#stockmarketupdate, #trading, #investing, #equityinvesting, #investmentstrategy, #swingtrading, #investing, #finance, #equity, #marketupdate, #nifty50, #sensex, #nse, #bse, #learntotrade, #tradingmotivation, #banknifty"
Market Research Analyst (RKSM),2025-07-12T05:59:39.000Z,"Market Research Analyst (RKSM)
@researchrks
·
2h
Kindly do support us & follow for more updates!

SupplyZone-Fri 3PM

#Bitcoin  analyzed by #RKSM (Adv)

Decisions r yours!

#BTCUSDT/#BTC -Associate with us for - #Nifty #Nifty50 #BankNifty #Commodities #stocks #gold #Oil
#DataDecoder #TrendTracker #StockMarket #MarketInsights
1
117",@researchrks,"#Bitcoin, #RKSM, #BTCUSDT, #BTC, #Nifty, #Nifty50, #BankNifty, #Commodities, #stocks, #gold, #Oil, #DataDecoder, #TrendTracker, #StockMarket, #MarketInsights"
Sachin,2025-07-12T05:58:57.000Z,"Sachin
@Sachin94596741
·
2h
Nifty 1 Day Time Frame 25070  50 percent area test Nifty

#Nifty50 #niftyfuture #Nifty 
#indextowatch #indextofocus
Not Sebi registered.
104",@Sachin94596741,"#Nifty50, #niftyfuture, #Nifty, #indextowatch, #indextofocus"
Arpana Santosh,2025-07-12T05:54:53.000Z,"Arpana Santosh
@anu316594
·
3h
Nifty important level for Monday  

#Nifty #Nifty50 #niftycrash 

Don't forget to join our telegram group free for profitable option trading guidance 
101",@anu316594,"#Nifty, #Nifty50, #niftycrash"
MeghaTrader,2025-07-12T05:51:01.000Z,"MeghaTrader
@MeghaTrader_MT
·
3h
Use of swing rule

#Nifty50
1
71",@MeghaTrader_MT,#Nifty50
